	year	month	cause	number
1	2004	1	X.carrier_delay	1723185
2	2005	1	X.carrier_delay	2067784
3	2006	1	X.carrier_delay	1716094
4	2007	1	X.carrier_delay	2200212
5	2008	1	X.carrier_delay	2355954
6	2009	1	X.carrier_delay	1553366
7	2010	1	X.carrier_delay	1578882
8	2011	1	X.carrier_delay	1538345
9	2012	1	X.carrier_delay	1191729
10	2013	1	X.carrier_delay	1564374
11	2014	1	X.carrier_delay	2384451
12	2015	1	X.carrier_delay	1708155
13	2004	2	X.carrier_delay	1331459
14	2005	2	X.carrier_delay	1492652
15	2006	2	X.carrier_delay	1658066
16	2007	2	X.carrier_delay	2618501
17	2008	2	X.carrier_delay	2398296
18	2009	2	X.carrier_delay	1138257
19	2010	2	X.carrier_delay	1465833
20	2011	2	X.carrier_delay	1463091
21	2012	2	X.carrier_delay	1055852
22	2013	2	X.carrier_delay	1415721
23	2014	2	X.carrier_delay	1762191
24	2015	2	X.carrier_delay	1712660
25	2004	3	X.carrier_delay	1288518
26	2005	3	X.carrier_delay	1848181
27	2006	3	X.carrier_delay	1896227
28	2007	3	X.carrier_delay	2548581
29	2008	3	X.carrier_delay	2527895
30	2009	3	X.carrier_delay	1565861
31	2010	3	X.carrier_delay	1649112
32	2011	3	X.carrier_delay	1637022
33	2012	3	X.carrier_delay	1534771
34	2013	3	X.carrier_delay	1666872
35	2014	3	X.carrier_delay	1723617
36	2015	3	X.carrier_delay	1818680
37	2004	4	X.carrier_delay	1161420
38	2005	4	X.carrier_delay	1335380
39	2006	4	X.carrier_delay	1687855
40	2007	4	X.carrier_delay	2078632
41	2008	4	X.carrier_delay	1926766
42	2009	4	X.carrier_delay	1509781
43	2010	4	X.carrier_delay	1232548
44	2011	4	X.carrier_delay	1731194
45	2012	4	X.carrier_delay	1188623
46	2013	4	X.carrier_delay	1808722
47	2014	4	X.carrier_delay	1489021
48	2015	4	X.carrier_delay	1490594
49	2004	5	X.carrier_delay	1521686
50	2005	5	X.carrier_delay	1385037
51	2006	5	X.carrier_delay	1726870
52	2007	5	X.carrier_delay	1919316
53	2008	5	X.carrier_delay	1722631
54	2009	5	X.carrier_delay	1379106
55	2010	5	X.carrier_delay	1588921
56	2011	5	X.carrier_delay	1687179
57	2012	5	X.carrier_delay	1428053
58	2013	5	X.carrier_delay	1674148
59	2014	5	X.carrier_delay	1772666
60	2015	5	X.carrier_delay	1667920
61	2004	6	X.carrier_delay	1946065
62	2005	6	X.carrier_delay	2065172
63	2006	6	X.carrier_delay	2488811
64	2007	6	X.carrier_delay	2992281
65	2008	6	X.carrier_delay	2482267
66	2009	6	X.carrier_delay	1965403
67	2010	6	X.carrier_delay	2023987
68	2011	6	X.carrier_delay	1998069
69	2012	6	X.carrier_delay	1794914
70	2013	6	X.carrier_delay	2439539
71	2014	6	X.carrier_delay	2174769
72	2015	6	X.carrier_delay	2296333
73	2004	7	X.carrier_delay	1971727
74	2005	7	X.carrier_delay	2516919
75	2006	7	X.carrier_delay	2599148
76	2007	7	X.carrier_delay	3008057
77	2008	7	X.carrier_delay	2417097
78	2009	7	X.carrier_delay	2013731
79	2010	7	X.carrier_delay	2119493
80	2011	7	X.carrier_delay	1984345
81	2012	7	X.carrier_delay	2170627
82	2013	7	X.carrier_delay	2448255
