	Year	Month	Delay Cause	Number of Flights
1	2004	1	Carrier	1723185
2	2005	1	Carrier	2067784
3	2006	1	Carrier	1716094
4	2007	1	Carrier	2200212
5	2008	1	Carrier	2355954
6	2009	1	Carrier	1553366
7	2010	1	Carrier	1578882
8	2011	1	Carrier	1538345
9	2012	1	Carrier	1191729
10	2013	1	Carrier	1564374
11	2014	1	Carrier	2384451
12	2015	1	Carrier	1708155
13	2004	2	Carrier	1331459
14	2005	2	Carrier	1492652
15	2006	2	Carrier	1658066
16	2007	2	Carrier	2618501
17	2008	2	Carrier	2398296
18	2009	2	Carrier	1138257
19	2010	2	Carrier	1465833
20	2011	2	Carrier	1463091
21	2012	2	Carrier	1055852
22	2013	2	Carrier	1415721
23	2014	2	Carrier	1762191
24	2015	2	Carrier	1712660
25	2004	3	Carrier	1288518
26	2005	3	Carrier	1848181
27	2006	3	Carrier	1896227
28	2007	3	Carrier	2548581
29	2008	3	Carrier	2527895
30	2009	3	Carrier	1565861
31	2010	3	Carrier	1649112
32	2011	3	Carrier	1637022
33	2012	3	Carrier	1534771
34	2013	3	Carrier	1666872
35	2014	3	Carrier	1723617
36	2015	3	Carrier	1818680
37	2004	4	Carrier	1161420
38	2005	4	Carrier	1335380
39	2006	4	Carrier	1687855
40	2007	4	Carrier	2078632
41	2008	4	Carrier	1926766
42	2009	4	Carrier	1509781
43	2010	4	Carrier	1232548
44	2011	4	Carrier	1731194
45	2012	4	Carrier	1188623
46	2013	4	Carrier	1808722
47	2014	4	Carrier	1489021
48	2015	4	Carrier	1490594
49	2004	5	Carrier	1521686
50	2005	5	Carrier	1385037
51	2006	5	Carrier	1726870
52	2007	5	Carrier	1919316
53	2008	5	Carrier	1722631
54	2009	5	Carrier	1379106
55	2010	5	Carrier	1588921
56	2011	5	Carrier	1687179
57	2012	5	Carrier	1428053
58	2013	5	Carrier	1674148
59	2014	5	Carrier	1772666
60	2015	5	Carrier	1667920
61	2004	6	Carrier	1946065
62	2005	6	Carrier	2065172
63	2006	6	Carrier	2488811
64	2007	6	Carrier	2992281
65	2008	6	Carrier	2482267
66	2009	6	Carrier	1965403
67	2010	6	Carrier	2023987
68	2011	6	Carrier	1998069
69	2012	6	Carrier	1794914
70	2013	6	Carrier	2439539
71	2014	6	Carrier	2174769
72	2015	6	Carrier	2296333
73	2004	7	Carrier	1971727
74	2005	7	Carrier	2516919
75	2006	7	Carrier	2599148
76	2007	7	Carrier	3008057
77	2008	7	Carrier	2417097
78	2009	7	Carrier	2013731
79	2010	7	Carrier	2119493
80	2011	7	Carrier	1984345
81	2012	7	Carrier	2170627
82	2013	7	Carrier	2448255
83	2014	7	Carrier	2100005
84	2015	7	Carrier	2021379
85	2004	8	Carrier	1718626
86	2005	8	Carrier	2164422
87	2006	8	Carrier	2246758
88	2007	8	Carrier	2866013
89	2008	8	Carrier	2130584
90	2009	8	Carrier	1801093
91	2010	8	Carrier	1673889
92	2011	8	Carrier	1755406
93	2012	8	Carrier	1916579
94	2013	8	Carrier	1852201
95	2014	8	Carrier	1832082
96	2015	8	Carrier	1819598
97	2004	9	Carrier	1085339
98	2005	9	Carrier	1349963
99	2006	9	Carrier	1838438
100	2007	9	Carrier	1748246
101	2008	9	Carrier	1218688
102	2009	9	Carrier	1123914
103	2010	9	Carrier	1164541
104	2011	9	Carrier	1235940
105	2012	9	Carrier	1405706
106	2013	9	Carrier	1288132
107	2014	9	Carrier	1333490
108	2015	9	Carrier	1176791
109	2004	10	Carrier	1308635
110	2005	10	Carrier	1381005
111	2006	10	Carrier	2129345
112	2007	10	Carrier	1908292
113	2008	10	Carrier	1145054
114	2009	10	Carrier	1526817
115	2010	10	Carrier	1306074
116	2011	10	Carrier	1169218
117	2012	10	Carrier	1470511
118	2013	10	Carrier	1293737
119	2014	10	Carrier	1427068
120	2015	10	Carrier	1206011
121	2004	11	Carrier	1474893
122	2005	11	Carrier	1522750
123	2006	11	Carrier	1783605
124	2007	11	Carrier	1726179
125	2008	11	Carrier	1121975
126	2009	11	Carrier	937489
127	2010	11	Carrier	1257261
128	2011	11	Carrier	1084221
129	2012	11	Carrier	1200259
130	2013	11	Carrier	1294123
131	2014	11	Carrier	1393829
132	2015	11	Carrier	1358705
133	2004	12	Carrier	2301520
134	2005	12	Carrier	2312615
135	2006	12	Carrier	2484077
136	2007	12	Carrier	3212760
137	2008	12	Carrier	2601010
138	2009	12	Carrier	1991245
139	2010	12	Carrier	2156964
140	2011	12	Carrier	1269211
141	2012	12	Carrier	1807832
142	2013	12	Carrier	2391073
143	2014	12	Carrier	1866220
144	2015	12	Carrier	1896130
145	2004	1	Extreme Weather	537786
146	2005	1	Extreme Weather	601992
147	2006	1	Extreme Weather	350723
148	2007	1	Extreme Weather	505125
149	2008	1	Extreme Weather	429828
150	2009	1	Extreme Weather	367294
151	2010	1	Extreme Weather	258297
152	2011	1	Extreme Weather	227464
153	2012	1	Extreme Weather	215457
154	2013	1	Extreme Weather	233603
155	2014	1	Extreme Weather	578051
156	2015	1	Extreme Weather	263087
157	2004	2	Extreme Weather	364234
158	2005	2	Extreme Weather	315848
159	2006	2	Extreme Weather	333845
160	2007	2	Extreme Weather	646296
161	2008	2	Extreme Weather	544326
162	2009	2	Extreme Weather	151866
163	2010	2	Extreme Weather	308111
164	2011	2	Extreme Weather	258294
165	2012	2	Extreme Weather	116626
166	2013	2	Extreme Weather	190890
167	2014	2	Extreme Weather	286760
168	2015	2	Extreme Weather	411265
169	2004	3	Extreme Weather	214701
170	2005	3	Extreme Weather	377667
171	2006	3	Extreme Weather	333336
172	2007	3	Extreme Weather	404860
173	2008	3	Extreme Weather	474687
174	2009	3	Extreme Weather	285155
175	2010	3	Extreme Weather	227050
176	2011	3	Extreme Weather	141124
177	2012	3	Extreme Weather	199416
178	2013	3	Extreme Weather	226006
179	2014	3	Extreme Weather	163780
180	2015	3	Extreme Weather	228661
181	2004	4	Extreme Weather	191870
182	2005	4	Extreme Weather	242815
183	2006	4	Extreme Weather	273740
184	2007	4	Extreme Weather	317424
185	2008	4	Extreme Weather	268806
186	2009	4	Extreme Weather	353424
187	2010	4	Extreme Weather	121930
188	2011	4	Extreme Weather	247048
189	2012	4	Extreme Weather	144825
190	2013	4	Extreme Weather	270386
191	2014	4	Extreme Weather	142051
192	2015	4	Extreme Weather	221590
193	2004	5	Extreme Weather	529168
194	2005	5	Extreme Weather	257587
195	2006	5	Extreme Weather	322533
196	2007	5	Extreme Weather	382267
197	2008	5	Extreme Weather	240013
198	2009	5	Extreme Weather	238418
199	2010	5	Extreme Weather	277376
200	2011	5	Extreme Weather	344779
201	2012	5	Extreme Weather	235352
202	2013	5	Extreme Weather	260324
203	2014	5	Extreme Weather	270690
204	2015	5	Extreme Weather	336555
205	2004	6	Extreme Weather	702461
206	2005	6	Extreme Weather	494727
207	2006	6	Extreme Weather	608474
208	2007	6	Extreme Weather	803209
209	2008	6	Extreme Weather	571832
210	2009	6	Extreme Weather	414439
211	2010	6	Extreme Weather	324997
212	2011	6	Extreme Weather	315736
213	2012	6	Extreme Weather	218325
214	2013	6	Extreme Weather	508863
215	2014	6	Extreme Weather	379880
216	2015	6	Extreme Weather	380699
217	2004	7	Extreme Weather	466874
218	2005	7	Extreme Weather	727936
219	2006	7	Extreme Weather	551181
220	2007	7	Extreme Weather	698240
221	2008	7	Extreme Weather	555794
222	2009	7	Extreme Weather	330616
223	2010	7	Extreme Weather	340059
224	2011	7	Extreme Weather	280585
225	2012	7	Extreme Weather	380130
226	2013	7	Extreme Weather	343062
227	2014	7	Extreme Weather	319170
228	2015	7	Extreme Weather	232468
229	2004	8	Extreme Weather	471948
230	2005	8	Extreme Weather	507289
231	2006	8	Extreme Weather	452936
232	2007	8	Extreme Weather	547181
233	2008	8	Extreme Weather	398906
234	2009	8	Extreme Weather	283920
235	2010	8	Extreme Weather	200689
236	2011	8	Extreme Weather	303533
237	2012	8	Extreme Weather	222523
238	2013	8	Extreme Weather	206418
239	2014	8	Extreme Weather	291580
240	2015	8	Extreme Weather	265792
241	2004	9	Extreme Weather	227281
242	2005	9	Extreme Weather	200089
243	2006	9	Extreme Weather	405927
244	2007	9	Extreme Weather	246889
245	2008	9	Extreme Weather	157032
246	2009	9	Extreme Weather	143152
247	2010	9	Extreme Weather	144822
248	2011	9	Extreme Weather	134094
249	2012	9	Extreme Weather	109777
250	2013	9	Extreme Weather	158422
251	2014	9	Extreme Weather	127408
252	2015	9	Extreme Weather	137043
253	2004	10	Extreme Weather	319073
254	2005	10	Extreme Weather	287169
255	2006	10	Extreme Weather	439564
256	2007	10	Extreme Weather	287745
257	2008	10	Extreme Weather	105092
258	2009	10	Extreme Weather	208114
259	2010	10	Extreme Weather	145112
260	2011	10	Extreme Weather	104732
261	2012	10	Extreme Weather	89858
262	2013	10	Extreme Weather	78051
263	2014	10	Extreme Weather	132092
264	2015	10	Extreme Weather	109225
265	2004	11	Extreme Weather	416112
266	2005	11	Extreme Weather	257998
267	2006	11	Extreme Weather	335112
268	2007	11	Extreme Weather	203195
269	2008	11	Extreme Weather	139442
270	2009	11	Extreme Weather	72053
271	2010	11	Extreme Weather	109983
272	2011	11	Extreme Weather	76733
273	2012	11	Extreme Weather	99977
274	2013	11	Extreme Weather	109446
275	2014	11	Extreme Weather	155442
276	2015	11	Extreme Weather	186950
277	2004	12	Extreme Weather	595952
278	2005	12	Extreme Weather	442673
279	2006	12	Extreme Weather	446472
280	2007	12	Extreme Weather	702867
281	2008	12	Extreme Weather	747959
282	2009	12	Extreme Weather	441926
283	2010	12	Extreme Weather	326786
284	2011	12	Extreme Weather	124251
285	2012	12	Extreme Weather	247544
286	2013	12	Extreme Weather	388682
287	2014	12	Extreme Weather	141765
288	2015	12	Extreme Weather	326898
289	2004	1	NAS	2310463
290	2005	1	NAS	2373719
291	2006	1	NAS	1805841
292	2007	1	NAS	2234312
293	2008	1	NAS	2422180
294	2009	1	NAS	1762603
295	2010	1	NAS	1411991
296	2011	1	NAS	1211385
297	2012	1	NAS	984413
298	2013	1	NAS	1148931
299	2014	1	NAS	1476657
300	2015	1	NAS	1278055
301	2004	2	NAS	1996455
302	2005	2	NAS	1876506
303	2006	2	NAS	1803968
304	2007	2	NAS	2208587
305	2008	2	NAS	2572644
306	2009	2	NAS	1434960
307	2010	2	NAS	1389019
308	2011	2	NAS	1267792
309	2012	2	NAS	684334
310	2013	2	NAS	1119658
311	2014	2	NAS	1369808
312	2015	2	NAS	1349173
313	2004	3	NAS	1787331
314	2005	3	NAS	2209616
315	2006	3	NAS	2089504
316	2007	3	NAS	2304310
317	2008	3	NAS	2487133
318	2009	3	NAS	1855778
319	2010	3	NAS	1463005
320	2011	3	NAS	1344471
321	2012	3	NAS	1038001
322	2013	3	NAS	1447591
323	2014	3	NAS	1168846
324	2015	3	NAS	1228893
325	2004	4	NAS	1505284
326	2005	4	NAS	1298076
327	2006	4	NAS	1741250
328	2007	4	NAS	2205125
329	2008	4	NAS	1964005
330	2009	4	NAS	2017471
331	2010	4	NAS	930462
332	2011	4	NAS	1735882
333	2012	4	NAS	644874
334	2013	4	NAS	1765792
335	2014	4	NAS	1185096
336	2015	4	NAS	1118027
337	2004	5	NAS	2665016
338	2005	5	NAS	1385878
339	2006	5	NAS	1927774
340	2007	5	NAS	2063976
341	2008	5	NAS	1996671
342	2009	5	NAS	1767069
343	2010	5	NAS	1591463
344	2011	5	NAS	1700346
345	2012	5	NAS	1046010
346	2013	5	NAS	1592755
347	2014	5	NAS	1493938
348	2015	5	NAS	1254652
349	2004	6	NAS	2750596
350	2005	6	NAS	2445503
351	2006	6	NAS	2332203
352	2007	6	NAS	3244260
353	2008	6	NAS	3226918
354	2009	6	NAS	2151260
355	2010	6	NAS	1721647
356	2011	6	NAS	1512665
357	2012	6	NAS	1176826
358	2013	6	NAS	2243833
359	2014	6	NAS	1788826
360	2015	6	NAS	1630868
361	2004	7	NAS	2437579
362	2005	7	NAS	3128157
363	2006	7	NAS	2282707
364	2007	7	NAS	2811468
365	2008	7	NAS	2716037
366	2009	7	NAS	1885143
367	2010	7	NAS	1649654
368	2011	7	NAS	1493581
369	2012	7	NAS	1740721
370	2013	7	NAS	2170773
371	2014	7	NAS	1503200
372	2015	7	NAS	1343455
373	2004	8	NAS	2054527
374	2005	8	NAS	2227201
375	2006	8	NAS	2022056
376	2007	8	NAS	2701698
377	2008	8	NAS	2068748
378	2009	8	NAS	1664002
379	2010	8	NAS	1244824
380	2011	8	NAS	1361589
381	2012	8	NAS	1333356
382	2013	8	NAS	1398283
383	2014	8	NAS	1381727
384	2015	8	NAS	1274603
385	2004	9	NAS	1266018
386	2005	9	NAS	1238216
387	2006	9	NAS	2317486
388	2007	9	NAS	1495285
389	2008	9	NAS	1177489
390	2009	9	NAS	960110
391	2010	9	NAS	1014346
392	2011	9	NAS	1014824
393	2012	9	NAS	1043458
394	2013	9	NAS	1014977
395	2014	9	NAS	1200983
396	2015	9	NAS	786621
397	2004	10	NAS	1545249
398	2005	10	NAS	1689471
399	2006	10	NAS	2738419
400	2007	10	NAS	2127859
401	2008	10	NAS	1102384
402	2009	10	NAS	1933420
403	2010	10	NAS	1100194
404	2011	10	NAS	863539
405	2012	10	NAS	1093078
406	2013	10	NAS	932630
407	2014	10	NAS	1416315
408	2015	10	NAS	802697
409	2004	11	NAS	1862361
410	2005	11	NAS	1797001
411	2006	11	NAS	2195925
412	2007	11	NAS	1753846
413	2008	11	NAS	1527896
414	2009	11	NAS	759259
415	2010	11	NAS	1015379
416	2011	11	NAS	907791
417	2012	11	NAS	714364
418	2013	11	NAS	897294
419	2014	11	NAS	1117363
420	2015	11	NAS	981254
421	2004	12	NAS	2291475
422	2005	12	NAS	2376853
423	2006	12	NAS	2353582
424	2007	12	NAS	3058749
425	2008	12	NAS	2909396
426	2009	12	NAS	2029211
427	2010	12	NAS	1697134
428	2011	12	NAS	889345
429	2012	12	NAS	1329387
430	2013	12	NAS	1694349
431	2014	12	NAS	1416790
432	2015	12	NAS	1287464
433	2004	1	Late Aircraft	1922724
434	2005	1	Late Aircraft	2564397
435	2006	1	Late Aircraft	1971851
436	2007	1	Late Aircraft	2904995
437	2008	1	Late Aircraft	3145788
438	2009	1	Late Aircraft	1922237
439	2010	1	Late Aircraft	1853069
440	2011	1	Late Aircraft	2042602
441	2012	1	Late Aircraft	1455120
442	2013	1	Late Aircraft	1845040
443	2014	1	Late Aircraft	3243417
444	2015	1	Late Aircraft	2183865
445	2004	2	Late Aircraft	1685452
446	2005	2	Late Aircraft	1778646
447	2006	2	Late Aircraft	2111853
448	2007	2	Late Aircraft	3395999
449	2008	2	Late Aircraft	3495284
450	2009	2	Late Aircraft	1374484
451	2010	2	Late Aircraft	1952183
452	2011	2	Late Aircraft	2049487
453	2012	2	Late Aircraft	1129731
454	2013	2	Late Aircraft	1762843
455	2014	2	Late Aircraft	2394565
456	2015	2	Late Aircraft	2157918
457	2004	3	Late Aircraft	1687536
458	2005	3	Late Aircraft	2367218
459	2006	3	Late Aircraft	2657080
460	2007	3	Late Aircraft	3321925
461	2008	3	Late Aircraft	3344243
462	2009	3	Late Aircraft	2214624
463	2010	3	Late Aircraft	2155386
464	2011	3	Late Aircraft	2321420
465	2012	3	Late Aircraft	1967898
466	2013	3	Late Aircraft	2356192
467	2014	3	Late Aircraft	2292184
468	2015	3	Late Aircraft	2156090
469	2004	4	Late Aircraft	1349671
470	2005	4	Late Aircraft	1379302
471	2006	4	Late Aircraft	2246792
472	2007	4	Late Aircraft	2826618
473	2008	4	Late Aircraft	2277313
474	2009	4	Late Aircraft	2197572
475	2010	4	Late Aircraft	1377309
476	2011	4	Late Aircraft	2634299
477	2012	4	Late Aircraft	1326988
478	2013	4	Late Aircraft	2795392
479	2014	4	Late Aircraft	2058940
480	2015	4	Late Aircraft	1785437
481	2004	5	Late Aircraft	2257148
482	2005	5	Late Aircraft	1530562
483	2006	5	Late Aircraft	2403513
484	2007	5	Late Aircraft	2487334
485	2008	5	Late Aircraft	2244264
486	2009	5	Late Aircraft	1836784
487	2010	5	Late Aircraft	2169646
488	2011	5	Late Aircraft	2612917
489	2012	5	Late Aircraft	1770914
490	2013	5	Late Aircraft	2563182
491	2014	5	Late Aircraft	2549799
492	2015	5	Late Aircraft	2172521
493	2004	6	Late Aircraft	2843794
494	2005	6	Late Aircraft	2801540
495	2006	6	Late Aircraft	3390729
496	2007	6	Late Aircraft	4370859
497	2008	6	Late Aircraft	3580641
498	2009	6	Late Aircraft	2688529
499	2010	6	Late Aircraft	2854716
500	2011	6	Late Aircraft	2773488
501	2012	6	Late Aircraft	2329067
502	2013	6	Late Aircraft	4158715
503	2014	6	Late Aircraft	3405382
504	2015	6	Late Aircraft	3055836
505	2004	7	Late Aircraft	2680464
506	2005	7	Late Aircraft	3894650
507	2006	7	Late Aircraft	3457827
508	2007	7	Late Aircraft	4275001
509	2008	7	Late Aircraft	3062892
510	2009	7	Late Aircraft	2609028
511	2010	7	Late Aircraft	2889404
512	2011	7	Late Aircraft	2886690
513	2012	7	Late Aircraft	3345433
514	2013	7	Late Aircraft	3758093
515	2014	7	Late Aircraft	2937179
516	2015	7	Late Aircraft	2782381
517	2004	8	Late Aircraft	2444041
518	2005	8	Late Aircraft	2661527
519	2006	8	Late Aircraft	2859965
520	2007	8	Late Aircraft	3933045
521	2008	8	Late Aircraft	2490422
522	2009	8	Late Aircraft	2223395
523	2010	8	Late Aircraft	2099758
524	2011	8	Late Aircraft	2319010
525	2012	8	Late Aircraft	2683506
526	2013	8	Late Aircraft	2647163
527	2014	8	Late Aircraft	2553660
528	2015	8	Late Aircraft	2244485
529	2004	9	Late Aircraft	1104313
530	2005	9	Late Aircraft	1255912
531	2006	9	Late Aircraft	2453058
