	Year	Month	Categories	Number of Operations
1	2004	1	Total Operation	583987
2	2005	1	Total Operation	594923
3	2006	1	Total Operation	581287
4	2007	1	Total Operation	621559
5	2008	1	Total Operation	605763
6	2009	1	Total Operation	532337
7	2010	1	Total Operation	521806
8	2011	1	Total Operation	494400
9	2012	1	Total Operation	486133
10	2013	1	Total Operation	509519
11	2014	1	Total Operation	471949
12	2015	1	Total Operation	469967
13	2004	2	Total Operation	553876
14	2005	2	Total Operation	545332
15	2006	2	Total Operation	531247
16	2007	2	Total Operation	565604
17	2008	2	Total Operation	569231
18	2009	2	Total Operation	488410
19	2010	2	Total Operation	483268
20	2011	2	Total Operation	455515
21	2012	2	Total Operation	464826
22	2013	2	Total Operation	469746
23	2014	2	Total Operation	430602
24	2015	2	Total Operation	429191
25	2004	3	Total Operation	601412
26	2005	3	Total Operation	617540
27	2006	3	Total Operation	605217
28	2007	3	Total Operation	639209
29	2008	3	Total Operation	616083
30	2009	3	Total Operation	557420
31	2010	3	Total Operation	549261
32	2011	3	Total Operation	526687
33	2012	3	Total Operation	521628
34	2013	3	Total Operation	552312
35	2014	3	Total Operation	503757
36	2015	3	Total Operation	504311
37	2004	4	Total Operation	582970
38	2005	4	Total Operation	594492
39	2006	4	Total Operation	585351
40	2007	4	Total Operation	614648
41	2008	4	Total Operation	598126
42	2009	4	Total Operation	537792
43	2010	4	Total Operation	529330
44	2011	4	Total Operation	507024
45	2012	4	Total Operation	505218
46	2013	4	Total Operation	536393
47	2014	4	Total Operation	483499
48	2015	4	Total Operation	485151
49	2004	5	Total Operation	594457
50	2005	5	Total Operation	614802
51	2006	5	Total Operation	602919
52	2007	5	Total Operation	631609
53	2008	5	Total Operation	606292
54	2009	5	Total Operation	546832
55	2010	5	Total Operation	542747
56	2011	5	Total Operation	520612
57	2012	5	Total Operation	518423
58	2013	5	Total Operation	548642
59	2014	5	Total Operation	499278
60	2015	5	Total Operation	496993
61	2004	6	Total Operation	588792
62	2005	6	Total Operation	609195
63	2006	6	Total Operation	598315
64	2007	6	Total Operation	629280
65	2008	6	Total Operation	608665
66	2009	6	Total Operation	557594
67	2010	6	Total Operation	551686
68	2011	6	Total Operation	528587
69	2012	6	Total Operation	526933
70	2013	6	Total Operation	552141
71	2014	6	Total Operation	502617
72	2015	6	Total Operation	503897
73	2004	7	Total Operation	614166
74	2005	7	Total Operation	627961
75	2006	7	Total Operation	621244
76	2007	7	Total Operation	648560
77	2008	7	Total Operation	627931
78	2009	7	Total Operation	580133
79	2010	7	Total Operation	570788
80	2011	7	Total Operation	547218
81	2012	7	Total Operation	545131
82	2013	7	Total Operation	571623
83	2014	7	Total Operation	520880
84	2015	7	Total Operation	520718
85	2004	8	Total Operation	623107
86	2005	8	Total Operation	630904
87	2006	8	Total Operation	628732
88	2007	8	Total Operation	653279
89	2008	8	Total Operation	612277
90	2009	8	Total Operation	568301
91	2010	8	Total Operation	569217
92	2011	8	Total Operation	541442
93	2012	8	Total Operation	540793
94	2013	8	Total Operation	562921
95	2014	8	Total Operation	507491
96	2015	8	Total Operation	510536
97	2004	9	Total Operation	585125
98	2005	9	Total Operation	574253
99	2006	9	Total Operation	584937
100	2007	9	Total Operation	600187
101	2008	9	Total Operation	540906
102	2009	9	Total Operation	510852
103	2010	9	Total Operation	526107
104	2011	9	Total Operation	487468
105	2012	9	Total Operation	490199
106	2013	9	Total Operation	510805
107	2014	9	Total Operation	469489
108	2015	9	Total Operation	464946
109	2004	10	Total Operation	610037
110	2005	10	Total Operation	592712
111	2006	10	Total Operation	611718
112	2007	10	Total Operation	629992
113	2008	10	Total Operation	556205
114	2009	10	Total Operation	531799
115	2010	10	Total Operation	545518
116	2011	10	Total Operation	504395
117	2012	10	Total Operation	515254
118	2013	10	Total Operation	535344
119	2014	10	Total Operation	491011
120	2015	10	Total Operation	486165
121	2004	11	Total Operation	584610
122	2005	11	Total Operation	566138
123	2006	11	Total Operation	586197
124	2007	11	Total Operation	605149
125	2008	11	Total Operation	523271
126	2009	11	Total Operation	509540
127	2010	11	Total Operation	520999
128	2011	11	Total Operation	478040
129	2012	11	Total Operation	488006
130	2013	11	Total Operation	503296
131	2014	11	Total Operation	462054
132	2015	11	Total Operation	467971
133	2004	12	Total Operation	606731
134	2005	12	Total Operation	572343
135	2006	12	Total Operation	604758
136	2007	12	Total Operation	616382
137	2008	12	Total Operation	544956
138	2009	12	Total Operation	529269
139	2010	12	Total Operation	539382
140	2011	12	Total Operation	493888
141	2012	12	Total Operation	494218
142	2013	12	Total Operation	516739
143	2014	12	Total Operation	477183
144	2015	12	Total Operation	479230
145	2004	1	Total Flight Delay	128236
146	2005	1	Total Flight Delay	143316
147	2006	1	Total Flight Delay	112299
148	2007	1	Total Flight Delay	150144
